Link Name,Template [listid],Opacity,Delay,User Control,Source,Campaign,Display Count,Signup Count,Conversion Rate,Linkid,URL,Preview Link,Active
Cranberry,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,367,41,11.17%,53A2C86A-BC1C-1771-2A2D-904108F1BF3A,http://www.recipe4living.com/recipes/traditional_cranberry_sauce.htm,http://www.recipe4living.com/recipes/traditional_cranberry_sauce.htm?cid=53A2C86A-BC1C-1771-2A2D-904108F1BF3A,Y
Leftovers,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,453,36,7.95%,EC7B4DF1-6604-E987-E89E-C7F724D91FB1,http://www.recipe4living.com/articles/leftover_thanksgiving_recipes.htm,http://www.recipe4living.com/articles/leftover_thanksgiving_recipes.htm?cid=EC7B4DF1-6604-E987-E89E-C7F724D91FB1,Y
Gravy,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,612,55,8.99%,40411F50-58F8-08F2-5C80-3007857BD45A,http://www.recipe4living.com/articles/how_to_make_thanksgiving_gravy.htm,http://www.recipe4living.com/articles/how_to_make_thanksgiving_gravy.htm?cid=40411F50-58F8-08F2-5C80-3007857BD45A,Y
Thanksgiving Pie,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,180,14,7.78%,16A847D0-620F-6C48-F099-329C6C00B7CC,http://www.recipe4living.com/articles/countdown_to_thanksgiving_pie_recipes.htm,http://www.recipe4living.com/articles/countdown_to_thanksgiving_pie_recipes.htm?cid=16A847D0-620F-6C48-F099-329C6C00B7CC,Y
Sweet Potato,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,1849,225,12.17%,AC7E641C-8978-426E-E3A0-D1E27629BEAF,http://www.recipe4living.com/articles/countdown_to_thanksgiving_sweet_potato_recipes.htm,http://www.recipe4living.com/articles/countdown_to_thanksgiving_sweet_potato_recipes.htm?cid=AC7E641C-8978-426E-E3A0-D1E27629BEAF,Y
Stuffing,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,2249,270,12.01%,543CF329-F6A3-3C04-058D-362E37C160DD,http://www.recipe4living.com/articles/countdown_to_thanksgiving_stuffing_recipes.htm,http://www.recipe4living.com/articles/countdown_to_thanksgiving_stuffing_recipes.htm?cid=543CF329-F6A3-3C04-058D-362E37C160DD,Y
Thanksgiving Turkey,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,1963,196,9.98%,BEC37E7B-F9CB-ED21-4657-6AE7F9BC5B92,http://www.recipe4living.com/articles/countdown_to_thanksgiving_turkey_recipes.htm,http://www.recipe4living.com/articles/countdown_to_thanksgiving_turkey_recipes.htm?cid=BEC37E7B-F9CB-ED21-4657-6AE7F9BC5B92,Y
Thanksgiving,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,101,7,6.93%,DA30F739-B75D-4A6D-8747-ADF983922017,http://www.recipe4living.com/articles/140_thanksgiving_recipes_the_ultimate_recipe_collection.htm,http://www.recipe4living.com/articles/140_thanksgiving_recipes_the_ultimate_recipe_collection.htm?cid=DA30F739-B75D-4A6D-8747-ADF983922017,Y
Bisquick,GeneralGetTastySmall,30,1,N,Bing,bingrecipes,4,0,0.00%,2D156C39-D4B2-692E-895D-D51177A91602,http://www.recipe4living.com/search?controller=recipes&searchterm=bisquick,http://www.recipe4living.com/search?controller=recipes&searchterm=bisquick&cid=2D156C39-D4B2-692E-895D-D51177A91602,Y
Breakfast Crock Pot Delayed,CrockpotEasy1Small,70,1,N,Google,crockpot,3727,708,19.00%,AEF1F919-2280-6C1E-7E9A-061C69E170A5,http://www.recipe4living.com/recipes/crockpot?searchterm_extra=breakfast,http://www.recipe4living.com/recipes/crockpot?searchterm_extra=breakfast&cid=AEF1F919-2280-6C1E-7E9A-061C69E170A5,Y
